ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
9432	None	6174 6175	dig	1418	Quichua	aspi+y		Quechua	a s p i + j	aspi+y			
9433	tʃ eː + j	612 6176	squeeze, wring	1414	Quichua	chée+y		Quechua	tʃ eː + j	chée+y			
9434	None	612 6176	squeeze, wring	1414	Quichua	chahua+y		Quechua	tʃ a w a + j	chahua+y			
9435	None	1233 612 6176	squeeze, wring	1414	Quichua	ñití+chi+y		Quechua	ɲ i t i + tʃ i + j	ñití+chi+y			
9436	None	612 6176	squeeze, wring	1414	Quichua	chipa+y		Quechua	tʃ i p a + j	chipa+y			más con el sentido de "apretar"
9437	None	3229	mother	1216	Quichua	mama		Quechua	m a m a	mama			
9438	w ai r a + j	2556 4625	blow	175	Quichua	huáira+y		Quechua	w ai r a + j	huáira+y			el viento
9439	q ai ʎ a	5365	near (adv)	1942	Quichua	ckaylla		Quechua	q ai ʎ a	ckaylla			
9440	None	111 2558	cut	1432	Quichua	cuchu+y		Quechua	k u tʃ u + j	cuchu+y			
9441	None	111 2558	cut	1432	Quichua	piti+y		Quechua	p i t i + j	piti+y			
9442	p u j u	1244	cloud	1489	Quichua	puyu		Quechua	p u j u	puyu			
9443	None	3238 4632	bad	1292	Quichua	mana allí		Quechua	m a n a + a l l i	mana allí			
9444	None	5368	bad	1292	Quichua	sajra		Quechua	s a x r a	sajra			
9445	None	3242 6177	come	1446	Quichua	amu+y	come _:inf	Quechua	a m u + j	amuy			
9446	p ai + k u n a	2083 1251	they	817	Quichua	pay+cuna		Quechua	p ai + k u n a	pay+cuna			
9447	None	4996 1252	sky	1732	Quichua	anaj pacha	upper part	Quechua	a n a x + p a tʃ a	anaj pacha			
9448	None	4996 1252	sky	1732	Quichua	anaj manta	upper _:posp	Quechua	a n a x + m a n t a	anaj manta			
9449	None	1256	dirty, soiled	1230	Quichua	mapa		Quechua	m a p a	mapa			
9450	None	6178 6179	sew	1457	Quichua	séra+y		Quechua	s e r a + j	séra+y			
9451	None	6180	smoke (noun)	778	Quichua	ckosni		Quechua	q o s n i	ckosni			
9452	None	5372 6181	heavy	1210	Quichua	lása+j		Quechua	l a s a + x	lása+j			
9453	None	580	bark	1204	Quichua	ckara		Quechua	q a r a	ckara			
9454	None	1264	salt	1274	Quichua	cachi		Quechua	k a tʃ i	cachi			
9455	None	1266	green	1425	Quichua	ckómer		Quechua	q o m e r	ckómer			
9456	None	6182 5937	rotten	1728	Quichua	huájlli+y		Quechua	w a x l l i + j	huájlli+y			descomponerse en general
9457	None	6183 1272	rotten	1728	Quichua	ismu+scka		Quechua	i s m u + s q a	ismu+scka			
9458	None	3262 1272	rotten	1728	Quichua	poshcko+scka		Quechua	p o ʃ q o + s q a	poshcko+scka			
9459	m ai	1275	where	1237	Quichua	may		Quechua	m ai	may			
9460	None	1278 6184	wet, damp	1726	Quichua	chajchi+scka		Quechua	tʃ a x tʃ i + s q a	chajchi+scka			
9461	None	122	wet, damp	1726	Quichua	miqui		Quechua	m i k i	miqui			
9462	None	122	wet, damp	1726	Quichua	ocko		Quechua	o q o	ocko			
9463	None	1281 5376	split	1437	Quichua	páqui+y		Quechua	p a k i + j	páqui+y			
9464	w a s k a	6185	rope, cord	1218	Quichua	huasca		Quechua	w a s k a	huasca			
9465	None	3277 2579 2090	how	1239	Quichua	ima+ina+taj	what _:comp _:emph	Quechua	i m a + i n a + t a x	imainataj			
9466	k i m s a	6186	three	492	Quichua	quimsa		Quechua	k i m s a	quimsa			
9467	j u r a x	6187	white	1335	Quichua	yúraj		Quechua	j u r a x	yúraj			
9468	None	133 2581	say	1458	Quichua	ni+y		Quechua	n i + j	ni+y			
9469	None	3282	far (adv)	1406	Quichua	caru		Quechua	k a r u	caru			
9470	None	2097	thick (in dimension)	1244	Quichua	racu		Quechua	r a k u	racu			
9471	w a t a	2098	year	1226	Quichua	huata		Quechua	w a t a	huata			
9472	u p j a + j	6188 2586	drink	1401	Quichua	upia+y	drink _:inf	Quechua	u p j a + j	upiay			
9473	None	1300	flower	239	Quichua	sisa		Quechua	s i s a	sisa			
9474	None	4871	water	948	Quichua	unu		Quechua	u n u	unu			
9475	None	1301	water	948	Quichua	yacu		Quechua	j a k u	yacu			
9476	None	6189	left (side)	244	Quichua	llócke		Quechua	l l o q e	llócke			
9477	None	6190 6191	fall	1280	Quichua	úrma+y	fall _:inf	Quechua	u r m a + j	úrmay			
9479	None	6192 2591	know	1410	Quichua	'réjsi+y	know _:inf	Quechua	r e x s i + j	'réjsiy			
9480	None	149 2591	know	1410	Quichua	yácha+y	know _:inf	Quechua	j a tʃ a + j	yáchay			
9481	s a j a + k u + j	1309 1308 3296	stand	1442	Quichua	sayá+cu+y	stop _:caus _:inf	Quechua	s a j a + k u + j	sayácuy			
9482	u ʃ p a	4319	ashes	646	Quichua	ushpa		Quechua	u ʃ p a	ushpa			
9483	None	659	large, big	1202	Quichua	atun		Quechua	a t u n	atun			
9484	None	1319	night	1233	Quichua	tuta		Quechua	t u t a	tuta			
9485	t i u	6193	sand	671	Quichua	tíu		Quechua	t i u	tíu			
9486	None	3307	wide, broad	1243	Quichua	palta		Quechua	p a l t a	palta			
9487	None	2060 6194	you (plural)	1213	Quichua	ckam+cuna	you _:pl	Quechua	q a m + k u n a	ckam+cuna			
9488	a ʃ p a + p u j u	2462 162	fog	249	Quichua	ashpa puyu		Quechua	a ʃ p a + p u j u	ashpa puyu			allpa puyu
9489	None	6195	five	493	Quichua	pishcka		Quechua	p i ʃ q a	pishcka			
9490	None	1333 167	eat	1336	Quichua	mícu+y	eat _:inf	Quechua	m i k u + j	mícuy			
9491	None	6196	new	1231	Quichua	mósoj		Quechua	m o s o x	mósoj			
9492	j u j u	6197	grass	606	Quichua	yuyu		Quechua	j u j u	yuyu			
9493	None	1339	grass	606	Quichua	ckora		Quechua	q o r a	ckora			
9494	s u x	6198	one	1493	Quichua	suj		Quechua	s u x	suj			
9495	t u k ui	169 4878	every, all	98	Quichua	tucu+y		Quechua	t u k ui	tucuy			As a verb it means 'to complete or end'
9496	None	679	right (side)	1019	Quichua	checka		Quechua	tʃ e q a	checka			
9497	None	4330	name	1405	Quichua	suti		Quechua	s u t i	suti			
9498	m a tʃ u	682	old	1229	Quichua	machu		Quechua	m a tʃ u	machu			
9499	m au k a	682	old	1229	Quichua	mauca		Quechua	m au k a	mauca			Mostly 'old-fashioned'
9500	ɲ au p a	1344	old	1229	Quichua	ñaupa		Quechua	ɲ au p a	ñaupa			
9501	None	173	good	1035	Quichua	alli		Quechua	a l l i	alli			
9502	None	177	father	1217	Quichua	tata		Quechua	t a t a	tata			
9503	None	1353	small, little	1246	Quichua	chami		Quechua	tʃ a m i	chami			
9504	None	180	small, little	1246	Quichua	utu		Quechua	u t u	utu			
9505	ai k a + p	182 1357	when?	1238	Quichua	aica+p		Quechua	ai k a + p	aica+p			
9506	None	1359	I	1209	Quichua	nocka		Quechua	n o q a	nocka			
9507	i ʃ k ai	687	two	1498	Quichua	ishcay		Quechua	i ʃ k ai	ishcay			
9508	None	185	what?	1236	Quichua	ima		Quechua	i m a	ima			
9509	None	1366	long	1203	Quichua	suni		Quechua	s u n i	suni			t. hondo, profundo
9510	None	689	grease, fat	323	Quichua	huira		Quechua	w i r a	huira			t. gordo
9511	tʃ u n tʃ i ʎ u	6199	intestines, guts	1991	Quichua	chunchillu		Quechua	tʃ u n tʃ i ʎ u	chunchillu			chunchulli in Alderetes
9512	None	5022 1369	spit	1440	Quichua	tócka+y		Quechua	t o q a + j	tócka+y			
9513	None	191	knee	1371	Quichua	chuqui		Quechua	tʃ u k i	chuqui			
9514	None	2630	knee	1371	Quichua	ckonckori		Quechua	q o n q o r i	ckonckori			
9515	None	191	knee	1371	Quichua	mocko		Quechua	m o q o	mocko			rodilla y cualquier articulación prominente: muñón, nudo, protuberancia
9516	None	1373	straight	1404	Quichua	checka		Quechua	tʃ e q a	checka			
9517	None	6200 4667	smell (vb trans)	1586	Quichua	mútqui+y	smell _:inf	Quechua	m u t k i + j	mútquiy			
9518	m u j u	1376	round	1395	Quichua	muyu		Quechua	m u j u	muyu			
9519	None	697 5957	rub, wipe	1449	Quichua	ckácko+y		Quechua	q a q o + j	ckácko+y			
9520	None	4342 5957	rub, wipe	1449	Quichua	llúnchi+y		Quechua	l l u n tʃ i + j	llúnchi+y			
9521	t a q o	5399	tree (cf 08.600)	906	Quichua	tacko		Quechua	t a q o	tacko			Also, specifically 'algarrobo'
9522	None	4105 6201	hunt	1435	Quichua	api+y		Quechua	a p i + j	api+y			
9523	None	1383 700 6201	hunt	1435	Quichua	casa+chi+y		Quechua	k a s a + tʃ i + j	casa+chi+y			
9524	None	6202	moon	1313	Quichua	quilla		Quechua	k i l l a	quilla			
9525	a i s a + j	6203 6204	pull	1455	Quichua	aisa+y		Quechua	a i s a + j	aisa+y			
9527	i n t i	1390	sun	1343	Quichua	inti		Quechua	i n t i	inti			
9528	m ai j a + j	6207 6208	wash	1453	Quichua	máilla+y		Quechua	m ai j a + j	máilla+y			
9529	None	204 6208	wash	1453	Quichua	tájsa+y		Quechua	t a x s a + j	tájsa+y			
9530	t a k i + j	1394 5401	sing	1261	Quichua	taki+y		Quechua	t a k i + j	taki+y			Alderetes
9531	None	705 5401	sing	1261	Quichua	ckapari+y		Quechua	q a p a r i + j	ckapari+y			Originalmente gritar, bramar
9532	s i f r j a + j	6209 4675	laugh	1355	Quichua	sífria+y		Quechua	s i f r j a + j	sífria+y			
9533	None	6209	laugh	1355	Quichua	sipriy		Quechua	s i p r i j	sipriy			Alderetes
9534	None	207 4675	laugh	1355	Quichua	asi+y		Quechua	a s i + j	asi+y			
9535	None	209 5958	tie, bind	1917	Quichua	huata+y		Quechua	w a t a + j	huata+y			
9536	None	3370 5958	tie, bind	1917	Quichua	quípu+y		Quechua	k i p u + j	quípu+y			anudar
9537	None	5714	ice	617	Quichua	ckasa		Quechua	q a s a	ckasa			
9538	None	2649 2133	give	1447	Quichua	cko+y	give _:inf	Quechua	q o + j	ckoy			
9539	a s ʎ a	6210	little (quantity), few	1242	Quichua	aslla		Quechua	a s ʎ a	aslla			
9540	u t u l a	6211	little (quantity), few	1242	Quichua	utula		Quechua	u t u l a	utula			
9541	None	3380 2650	count	1420	Quichua	yúpa+y		Quechua	j u p a + j	yúpa+y			
9542	None	3382	much, many	1198	Quichua	chica		Quechua	tʃ i k a	chica			
9543	None	1408	much, many	1198	Quichua	ancha		Quechua	a n tʃ a	ancha			
9544	None	3382	much, many	1198	Quichua	ashca		Quechua	a ʃ k a	ashca			
9545	None	220 3386	we	1212	Quichua	nocka+nchis		Quechua	n o q a + n tʃ i s	nocka+nchis			
9546	None	220 6212	we	1212	Quichua	nocka+ycu		Quechua	n o q a + j k u	nocka+ycu			
9547	None	1413	cold	1287	Quichua	chiri		Quechua	tʃ i r i	chiri			
9548	t j a + k u + j	1414 1415 2655	sit	1416	Quichua	tia+cu+y	be.sit _:caus _:inf	Quechua	t j a + k u + j	tiacuy			
9549	None	6213	and	1577	Quichua	ima		Quechua	i m a	ima			
9550	None	720	woods, forest	420	Quichua	sacha		Quechua	s a tʃ a	sacha			
9551	None	6214 2140	push, shove	1452	Quichua	táncka+y		Quechua	t a n q a + j	táncka+y			
9552	None	6215	smooth	1234	Quichua	llampu		Quechua	l l a m p u	llampu			
9553	None	6216	snow (noun)	784	Quichua	ckasa		Quechua	q a s a	ckasa			Alderetes
9554	a p i + j	731 2145	hold	1448	Quichua	api+y	hold _:inf	Quechua	a p i + j	apiy			
9555	m a j u	6217	river, stream, brook	666	Quichua	mayu		Quechua	m a j u	mayu			mayup huaan: brazo del río
9556	u j u a	6218	animal	619	Quichua	uyua		Quechua	u j u a	uyua			Domestic animal
9557	a p a s a ŋ k a	6219	spider	843	Quichua	apasanca		Quechua	a p a s a ŋ k a	apasanca			In Alderetes
9558	s i ʎ u	6220	claw	72	Quichua	sillu		Quechua	s i ʎ u	sillu			
9559	None	1434	stomach	819	Quichua	huicas		Quechua	w i k a s	huicas			
9560	w a m p a	6221	horn	1393	Quichua	huampa		Quechua	w a m p a	huampa			In Alderetes
9561	w a x r a	6222	horn	1393	Quichua	huajra		Quechua	w a x r a	huackra			
9562	s i p r i j	6223	lip	478	Quichua	sipriy		Quechua	s i p r i j	sipriy			In Alderete
9563	p a q r a	4389	forehead	123	Quichua	paqra		Quechua	p a q r a	paqra			Ald.
9564	s i ʎ u	6224	fingernail	1258	Quichua	sillu		Quechua	s i ʎ u	sillu			
9565	m a j + q a n + p a s	753 6225 6226	some	1241	Quichua	may+qan+pas		Quechua	m a j + q a n + p a s	may+qan+pas			
9566	None	5042	some	1241	Quichua	huaquin		Quechua	w a k i n	huaquin			
9567	ʎ i p i p i + j	4122 6227	lightning	1654	Quichua	llipípi+y	strike.lightning _:inf	Quechua	ʎ i p i p i + j	llipípiy			
9568	None	258 6228	lie down	215	Quichua	siri+y	lie.down _:inf	Quechua	s i r i + j	siriy			
9569	None	761	full	1429	Quichua	chinchi		Quechua	tʃ i n tʃ i	chinchi			
9570	None	761	full	1429	Quichua	unta		Quechua	u n t a	unta			
9571	None	265 1466	play	1413	Quichua	chámca+y		Quechua	tʃ a m k a + j	chámca+y			play an instrument; touch
9572	None	6229 1466	play	1413	Quichua	puclla+y		Quechua	p u k l l a + j	puclla+y			
9573	None	6230 1466	play	1413	Quichua	huájta+y		Quechua	w a x t a + j	huájta+y			play an instrument; beat
9574	None	2696	warm	1232	Quichua	'rupa		Quechua	r u p a	'rupa			
9575	None	5045	warm	1232	Quichua	ckoñi		Quechua	q o ɲ i	ckoñi			
9576	None	2699	house	1252	Quichua	huasi		Quechua	w a s i	huasi			
9577	w aː	3437	child	1304	Quichua	huaa		Quechua	w aː	huaa			
9578	ɲ a n	4401	road	667	Quichua	ñan		Quechua	ɲ a n	ñan			
9579	tʃ u ŋ k a	1474	ten	1515	Quichua	chunca		Quechua	tʃ u ŋ k a	chunca			
9580	None	6231 273 6232	fight (vb)	1423	Quichua	macka+nacu+y	hit _:recip _:inf	Quechua	m a q a + n a k u + j	mackanacuy			
9581	l i r j a + i	6233 6232	fight (vb)	1423	Quichua	lirya+y	fight _:inf	Quechua	l i r j a + i	liryay			
9582	None	2188	rain (noun)	658	Quichua	para		Quechua	p a r a	para			
9583	None	277	owl	735	Quichua	ckocko		Quechua	q o q o	ckocko			Strix rufipes chacoensis
9584	None	277	owl	735	Quichua	aracucu		Quechua	a r a k u k u	aracucu			Otus chilita
9585	None	4698	owl	735	Quichua	quitilipi		Quechua	k i t i l i p i	quitilipi			Bubo virginianus ñacurutu
9586	None	279	hen	1514	Quichua	atashpa		Quechua	a t a ʃ p a	atashpa			atallpa
9587	None	776	cat	1208	Quichua	michi		Quechua	m i tʃ i	michi			
9588	tʃ u m a + l u l u	2193	bee	665	Quichua	chumalulu	absorbe _:act	Quechua	tʃ u m a + l u l u	chumalulu			
9591	None	2194	parrot	882	Quichua	ckala		Quechua	q a l a	ckala			Thectocercus acuticaudatus
9592	None	6234	fly	1504	Quichua	chuspi		Quechua	tʃ u s p i	chuspi			
9593	None	6235	turtle	112	Quichua	huadu		Quechua	w a d u	huadu			walu para Alderetes
9594	None	782 2198	turtle	112	Quichua	rumi ampatu		Quechua	r u m i + a m p a t u	rumi ampatu			
9595	None	785	ant	587	Quichua	shishi		Quechua	ʃ i ʃ i	shishi			Generic term
9596	None	2723	ant	587	Quichua	huajala		Quechua	w a x a l a	huajala			Species
9597	ʎ a m i + ʃ u	2723 785	ant	587	Quichua	llami+shu	? _:desp	Quechua	ʎ a m i + ʃ u	llamishu			Perhaps small + despective, according to Bravo
9598	None	787	fur	580	Quichua	ckara		Quechua	q a r a	ckara			
9599	None	1511	hair (head)	2648	Quichua	chujcha		Quechua	tʃ u x tʃ a	chujcha			chukcha in Alderete
9600	None	1512	brain	1583	Quichua	ñotcko		Quechua	ɲ o t q o	ñotcko			seso, encéfalo, tuétano
9601	None	1513	mucus (nasal)	208	Quichua	ckoña		Quechua	q o ɲ a	ckoña			
9602	tʃ i ŋ g i l u	4418	penis	1222	Quichua	chinguilu		Quechua	tʃ i ŋ g i l u	chinguilu			
9603	None	792 5993	penis	1222	Quichua	macka+na	hit _:nmlz	Quechua	m a q a + n a	mackana			
9604	None	4418	penis	1222	Quichua	pishcko		Quechua	p i ʃ q o	pishcko			
9605	None	4418	penis	1222	Quichua	pinchi		Quechua	p i n tʃ i	pinchi			
9606	p i ŋ g o	4418	penis	1222	Quichua	pingo		Quechua	p i ŋ g o	pingo			
9607	None	1516 798	nape of neck	1347	Quichua	cunca+tullu		Quechua	k u n k a + t u l l u	cunca+tullu			hueso de la nuca, pescuezo, cogote
9608	None	2215 2739	nape of neck	1347	Quichua	huañu+na		Quechua	w a ɲ u + n a	huañu+na			
9609	None	801	navel	1838	Quichua	pupu		Quechua	p u p u	pupu			
9610	u j a	1520	face	1560	Quichua	uya		Quechua	u j a	uya			
9611	s o ŋ q o + j u r a x	6236 6237	lung	688	Quichua	soncko yúraj	heart white	Quechua	s o ŋ q o + j u r a x	soncko yúraj			
9612	None	6238 804	jaw	798	Quichua	mucu+na		Quechua	m u k u + n a	mucu+na			inferior
9613	None	1528	body	1480	Quichua	ucu		Quechua	u k u	ucu			
9614	q o r o t a	6239	testicle	797	Quichua	ckorota		Quechua	q o r o t a	ckorota			
9615	r u n t u	6239	testicle	797	Quichua	'runtu		Quechua	r u n t u	'runtu			
9616	None	3489 6240	dream	1920	Quichua	móscko+y		Quechua	m o s q o + j	móscko+y			
9617	ai tʃ a	1533	flesh	2259	Quichua	aicha		Quechua	ai tʃ a	aicha			
9618	None	1540 6002	chew	321	Quichua	múcu+y		Quechua	m u k u + j	múcu+y			
9619	u r a	6241	under	1485	Quichua	ura		Quechua	u r a	ura			Also south
9620	None	819 317	bed	1663	Quichua	puñu+na	sleep _:loc	Quechua	p u ɲ u + n a	puñuna			
9621	None	320	arrow	977	Quichua	huachi		Quechua	w a tʃ i	huachi			
9622	None	6242	pot, cooking vessel	1462	Quichua	manca		Quechua	m a n k a	manca			
9623	None	1548	bow	994	Quichua	tangól		Quechua	t a n g o l	tangól			
9624	ʎ a x t a	6243	village	930	Quichua	llajta		Quechua	ʎ a x t a	llajta			
9625	s aː	2235	up, above	1591	Quichua	saa		Quechua	s aː	saa			
9626	k u m ui + k u + j	3867 2779 2778	bend	2004	Quichua	cumuy+cu+y		Quechua	k u m ui + k u + j	cumuy+cu+y			huicsu: curvo
9627	ʎ o x s i + n a	6244 1559	door, gate	1567	Quichua	llojsi+na	leave _:nmlz	Quechua	ʎ o x s i + n a	llojsina			
9628	p u ŋ k u	833	door, gate	1567	Quichua	puncu		Quechua	p u ŋ k u	puncu			
9629	None	835 5450	cover	761	Quichua	ckáta+y	cover _:inf	Quechua	q a t a + j	ckátay			
9630	None	2237 1565	buy	1869	Quichua	'ranti+y	buy _:inf	Quechua	r a n t i + j	'rantiy			
9631	l a w r a + j	327 2790	burn (vb intrans)	1428	Quichua	láura+y	burn _:inf	Quechua	l a w r a + j	láuray			
9632	None	328 2790 6245	burn (vb intrans)	1428	Quichua	nina+ya+y	fire _:intr _:inf	Quechua	n i n a + j a + j	ninayay			
9633	None	5076	thousand	1843	Quichua	huarancka		Quechua	w a r a n q a	huarancka			
9634	None	6246	nine	1483	Quichua	esckon		Quechua	e s q o n	esckon			ishqon in Alderetes
9635	m a q a + n a	6247	club	1763	Quichua	mackana	hit _:nmlz	Quechua	m a q a + n a	mackana			
9636	None	6248 1570	fishhook	1074	Quichua	challua+na		Quechua	tʃ a l l u a + n a	challua+na			lugar o instrumento para pescar. En quechua peruano figura como anzuelo
9637	None	6249 4914	choose	1750	Quichua	ajlla+y		Quechua	a x l l a + j	ajlla+y			
9638	None	5455	fishnet	388	Quichua	llica		Quechua	l l i k a	llica			
9639	None	340	firewood	10	Quichua	caspi		Quechua	k a s p i	caspi			
9640	None	3519	firewood	10	Quichua	chamisa		Quechua	tʃ a m i s a	chamisa			
9641	None	1575	firewood	10	Quichua	yanta		Quechua	j a n t a	yanta			
9642	q a n tʃ i s	6250	seven	1704	Quichua	ckanchis		Quechua	q a n tʃ i s	ckanchis			
9643	q eː + j	2239 5457	turn around	1444	Quichua	ckée+y		Quechua	q eː + j	ckée+y			torcer con fuerza
9644	m u j u + j	1584 5457	turn around	1444	Quichua	múyu+y		Quechua	m u j u + j	múyu+y			
9645	None	848 5457	turn around	1444	Quichua	tíjra+y		Quechua	t i x r a + j	tíjra+y			
9646	None	4448	path	2252	Quichua	ñan		Quechua	ɲ a n	ñan			
9647	None	3911	gourd	411	Quichua	sapallu		Quechua	s a p a l l u	sapallu			
9648	None	1591	gourd	411	Quichua	ancu		Quechua	a n k u	ancu			
9649	None	2243	island	622	Quichua	ijla		Quechua	i x l a	ijla			hisp
9650	None	347 6251	cry, weep	1839	Quichua	huácka+y	cry _:inf	Quechua	w a q a + j	huáckay			Variant: huéckey. 'huecke': tear
9652	None	6252	six	1703	Quichua	shojta		Quechua	ʃ o x t a	shojta			
9653	None	4457	top	1753	Quichua	uma		Quechua	u m a	uma			
9654	None	1623	top	1753	Quichua	anaj		Quechua	a n a x	anaj			
9655	s aː	6253	top	1753	Quichua	saa		Quechua	s aː	saa			
9656	None	1626 6254	steal	713	Quichua	sockári+y		Quechua	s o q a r i + j	sockári+y			t. alzar
9657	None	6255 6254	steal	713	Quichua	sua+y		Quechua	s u a + j	sua+y			
9658	None	4158	maize, corn	506	Quichua	chacra		Quechua	tʃ a k r a	chacra			
9659	None	4158	maize, corn	506	Quichua	chamcka		Quechua	tʃ a m q a	chamcka			Grinded for making 'locro'
9660	tʃ a w p i + tʃ a k r a	1629 4158	maize, corn	506	Quichua	chaupi chacra	middle maize	Quechua	tʃ a w p i + tʃ a k r a	chaupi chacra			Sown in October
9661	tʃ o k l o	4158	maize, corn	506	Quichua	choclo		Quechua	tʃ o k l o	choclo			
9662	None	4158	maize, corn	506	Quichua	chuchocka		Quechua	tʃ u tʃ o q a	chuchocka			Grilled and dried
9663	q a p j a	864	maize, corn	506	Quichua	ckapia		Quechua	q a p j a	ckapia			Soft
9664	None	6256	maize, corn	506	Quichua	ckecke		Quechua	q e q e	ckecke			Tender
9665	p i ʃ i ŋ g a	6257	maize, corn	506	Quichua	pishinga		Quechua	p i ʃ i ŋ g a	pishinga			
9666	None	4158	maize, corn	506	Quichua	sara		Quechua	s a r a	sara			
9667	None	5088	hundred	1634	Quichua	pachac		Quechua	p a tʃ a k	pachac			
9668	None	354	old man	406	Quichua	morcko		Quechua	m o r q o	morcko			
9669	None	353	old man	406	Quichua	atun		Quechua	a t u n	atun			
9670	None	4733 5471	pound with fist	354	Quichua	huájta+y		Quechua	w a x t a + j	huájta+y			no aclara que sea con el puño
9671	None	1641 5471	pound with fist	354	Quichua	mácka+y		Quechua	m a q a + j	mácka+y			aporrear
9672	None	1641 5471	pound with fist	354	Quichua	ñáca+y		Quechua	ɲ a k a + j	ñáca+y			pegar duro y sostenido
9673	None	6258	pound with fist	354	Quichua	sajma		Quechua	s a x m a	sajma			puño, puñetazo, cachetada
9674	i ʃ k ai + tʃ u ŋ k a	6259 1642	twenty	1710	Quichua	ishcay chunca	two ten	Quechua	i ʃ k ai + tʃ u ŋ k a	ishcay chunca			
9675	None	875 2836	chili pepper	919	Quichua	quita uchu		Quechua	k i t a + u tʃ u	quita uchu			
9676	p o q o	4920	ripe	178	Quichua	pocko		Quechua	p o q o	pocko			
9677	None	4463	cotton	1850	Quichua	utcu		Quechua	u t k u	utcu			t. agujero
9678	None	1655	man (vs. woman)	1554	Quichua	ckari		Quechua	q a r i	ckari			
9679	None	6260 3436	roof	769	Quichua	huasi uma		Quechua	w a s i + u m a	huasi uma			
9680	None	4465 2844	climb	1102	Quichua	llócka+y		Quechua	l l o q a + j	llócka+y			
9681	None	886	eight	1705	Quichua	púsaj		Quechua	p u s a x	púsaj			
9682	None	369	first	728	Quichua	huámaj		Quechua	w a m a x	huámaj			
9683	w aː	6261	infant, baby	1289	Quichua	huaa		Quechua	w aː	huaa			
9684	None	375 2261	open	1156	Quichua	quichári+y		Quechua	k i tʃ a r i + j	quichári+y			
9685	None	6262	charcoal	1188	Quichua	quillimsa		Quechua	k i l l i m s a	quillimsa			
9686	None	1691	hot	1286	Quichua	ckoñi		Quechua	q o ɲ i	ckoñi			
9687	None	4471	hot	1286	Quichua	'rupa		Quechua	r u p a	'rupa			
9688	None	2265 5485	grow	479	Quichua	huíña+y		Quechua	w i ɲ a + j	huíña+y			
9689	None	1699 901	cook	1100	Quichua	yánu+y	cook _:inf	Quechua	j a n u + j	yánuy			
9690	None	381 6033	flay, skin	291	Quichua	llúchu+y		Quechua	l l u tʃ u + j	llúchu+y			
9691	None	903 2868	die, dead	2101	Quichua	huáñu+y		Quechua	w a ɲ u + j	huáñu+y			
9692	p a j a	6263	old woman	907	Quichua	paya		Quechua	p a j a	paya			
9693	a t u n	904	old woman	907	Quichua	atun		Quechua	a t u n	atun			
9694	ʎ i k a	5106	spider web	1065	Quichua	llica		Quechua	ʎ i k a	llica			
9695	None	297	cow	1007	Quichua	vaca		Quechua	v a k a	vaca			
9696	tʃ e l k o	914	lizard	632	Quichua	chelco		Quechua	tʃ e l k o	chonckacu			
9697	q a r u + ʃ a	6264	lizard	632	Quichua	ckarusha	skin _:nmlz	Quechua	q a r u + ʃ a	ckaracha			
9698	tʃ e l q o	914	lizard	632	Quichua	chelqo		Quechua	tʃ e l q o	chelqo			
9699	None	395 4484	lizard	632	Quichua	ckomer+ejo	green _:nmlz	Quechua	q o m e r + e x o	ckomerejo			
9700	None	914	lizard	632	Quichua	umucuti		Quechua	u m u k u t i	umucuti			
9701	None	914	lizard	632	Quichua	ututu		Quechua	u t u t u	ututu			
9702	None	2277	nest	539	Quichua	mama		Quechua	m a m a	mama			
9704	None	6265	cock, rooster	1511	Quichua	shunco		Quechua	ʃ u n k o	shunco			
9705	None	919 1732	sow (2)	1351	Quichua	cuchi china		Quechua	k u tʃ i + tʃ i n a	cuchi china			
9706	w a ʃ q a + l u	6266 6267	he-goat	264	Quichua	huashcka+lu	necklace _:nmlz	Quechua	w a ʃ q a + l u	huashckalu			A goat with a necklace
9707	None	920	pig	1337	Quichua	cuchi		Quechua	k u tʃ i	cuchi			Sus scrofa domestica
9708	None	589	female (adj)	2262	Quichua	china		Quechua	tʃ i n a	china			
9709	tʃ i a	403	nit (louse egg)	267	Quichua	chía		Quechua	tʃ i a	chía			
9710	None	6268	dove	1853	Quichua	urpila		Quechua	u r p i l a	urpila			Also 'vulva'
9711	q e tʃ a l + i t a	923	dove	1853	Quichua	ckechalita	dung _:dim	Quechua	q e tʃ a l + i t a	ckechalita			
9712	None	2908	eagle	1905	Quichua	anca		Quechua	a n k a	anca			
9713	None	1756	shell	598	Quichua	ckara		Quechua	q a r a	ckara			
9714	None	1757	male (adj)	2263	Quichua	orcko		Quechua	o r q o	orcko			
